order_id,customer_id,order_date,order_status,shipping_cost,tax_amount,total_amount
70,22,2023-08-07,completed,15.26,153.23,2083.88
71,23,2022-10-10,completed,13.89,136.5,1856.64
72,23,2022-08-15,completed,10.11,135.63,1841.07
73,23,2023-03-12,completed,24.92,192.65,2625.73
74,23,2022-08-10,completed,18.47,165.34,2250.6
75,23,2023-01-05,completed,4.49,17.29,237.87
76,25,2022-02-16,completed,24.36,197.92,2696.22
77,26,2023-05-05,completed,2.85,7.41,102.86
78,26,2023-10-07,completed,17.16,119.46,1629.87
79,26,2023-03-03,cancelled,15.16,160.23,2178.28
80,26,2022-08-01,completed,15.64,55.1,759.54
81,27,2023-09-01,completed,11.75,57.03,781.6
82,27,2023-12-21,completed,21.49,37.02,521.23
83,29,2023-10-03,completed,14.74,58.56,805.26
84,30,2022-05-26,pending,1.79,158.98,2148.05
85,30,2023-03-26,completed,3.11,143.06,1934.46
86,30,2023-03-19,pending,18.36,349.02,4730.08
87,30,2022-06-29,pending,11.76,113.19,1539.84
88,30,2022-04-18,completed,21.44,144.68,1974.62
89,30,2022-11-19,pending,6.31,69.41,943.34
90,30,2022-01-02,completed,16.44,157.87,2147.63
91,31,2023-12-17,pending,12.12,74.0,1011.17
92,31,2022-09-03,completed,17.74,81.03,1111.69
93,31,2022-05-01,completed,16.19,70.9,973.3
94,31,2023-05-10,completed,24.51,81.58,1125.82
95,31,2022-05-20,completed,21.6,120.59,1649.52
96,31,2023-08-25,pending,14.5,162.5,2208.3
97,32,2023-12-16,completed,5.97,211.52,2861.55
98,32,2023-05-23,completed,24.12,50.86,710.74
99,32,2023-04-13,completed,0.38,179.34,2421.46
100,32,2022-09-29,completed,8.46,258.38,3496.64
101,32,2022-02-06,completed,15.44,123.73,1685.82
102,32,2022-04-11,completed,19.01,28.0,397.07
103,33,2022-01-30,completed,1.15,30.99,419.48
104,33,2022-05-30,completed,6.1,222.85,3014.53
105,33,2022-05-27,completed,5.8,147.11,1991.82
106,33,2023-03-29,completed,23.63,247.5,3364.88
107,33,2022-10-30,returned,24.82,269.97,3669.46
108,33,2023-09-13,returned,18.63,105.09,1437.32
109,33,2023-11-07,completed,17.02,49.12,680.19
110,33,2023-03-28,completed,0.83,70.52,952.82
111,34,2023-07-07,completed,21.91,198.14,2696.84
112,34,2022-10-30,completed,18.66,137.09,1869.37
113,35,2023-02-11,completed,24.18,290.22,3942.13
114,35,2022-04-21,completed,16.87,262.48,3560.29
115,35,2022-11-06,completed,16.23,37.89,527.79
116,35,2022-11-08,cancelled,24.9,35.58,505.24
117,36,2022-05-19,completed,9.72,167.46,2270.47
118,37,2023-11-02,returned,2.48,148.93,2013.09
119,37,2023-12-04,completed,9.18,70.02,954.42
120,37,2022-08-06,completed,16.04,109.32,1491.83
121,38,2022-06-01,completed,19.72,125.83,1718.48
122,38,2022-01-17,completed,4.36,51.9,705.07
123,38,2022-04-27,completed,18.64,154.16,2099.82
124,38,2023-04-15,completed,16.08,68.03,934.47
125,38,2023-03-13,completed,17.15,135.12,1841.26
126,39,2022-11-29,completed,9.52,204.95,2776.33
127,39,2022-08-22,pending,10.35,168.13,2280.1
128,39,2022-03-29,completed,2.33,46.22,626.35
129,40,2022-05-14,completed,13.91,246.03,3335.28
130,41,2022-04-17,completed,14.45,73.63,1008.45
131,41,2023-07-24,completed,9.19,224.01,3033.28
132,41,2023-10-21,completed,13.92,269.28,3649.21
133,42,2022-03-13,completed,3.55,64.79,878.16
134,43,2023-01-21,completed,10.5,105.45,1434.03
135,44,2023-09-25,cancelled,1.24,53.5,723.44
136,44,2023-05-13,completed,15.18,228.74,3103.21
137,45,2022-02-16,completed,5.51,90.15,1222.51
138,45,2023-06-30,cancelled,17.59,250.59,3400.55
139,46,2023-12-28,completed,16.0,102.28,1396.75
140,46,2023-01-06,completed,2.2,47.77,647.07
141,46,2023-06-21,pending,1.97,44.37,600.91
142,46,2022-07-18,completed,22.65,142.21,1942.54
143,46,2023-09-09,completed,3.82,60.51,820.69
144,46,2023-08-01,completed,19.0,197.08,2679.55
145,48,2022-11-07,cancelled,19.91,274.15,3720.99
146,48,2023-06-04,completed,9.61,342.23,4629.66
147,48,2022-03-28,completed,12.61,92.41,1260.2
148,48,2022-06-12,completed,9.1,112.63,1529.63
149,48,2022-12-04,completed,2.36,213.0,2877.91
150,48,2023-11-03,pending,17.46,296.42,4019.1
151,48,2023-12-03,pending,22.81,52.19,727.41
152,49,2023-01-06,completed,0.46,34.67,468.55
153,49,2022-04-14,completed,12.69,266.37,3608.74
154,49,2022-06-19,completed,18.03,54.63,755.5
155,49,2022-09-01,pending,24.24,290.15,3941.22
156,49,2022-10-16,completed,19.45,262.21,3559.27
157,51,2022-05-08,completed,7.13,81.37,1105.58
158,53,2022-08-16,completed,20.42,78.94,1086.09
159,54,2022-01-29,completed,7.97,78.84,1072.25
160,54,2022-05-30,completed,3.44,150.05,2029.1
161,54,2022-01-20,completed,6.4,105.23,1427.0
162,54,2022-09-01,completed,7.53,51.69,705.4
163,55,2023-09-30,completed,11.43,48.38,664.61
164,55,2022-01-17,completed,15.8,114.95,1567.59
165,56,2023-06-23,completed,13.6,192.61,2613.89
166,56,2023-08-19,completed,18.38,94.64,1296.03
167,56,2023-12-14,completed,11.96,7.77,116.89
168,56,2022-07-26,completed,1.1,62.4,843.53
169,56,2023-07-11,completed,11.83,24.87,347.62
170,56,2023-01-01,completed,21.55,41.43,580.9
171,57,2022-05-08,completed,19.98,177.68,2418.65
172,57,2022-03-26,pending,18.18,119.42,1630.4
173,57,2022-07-04,completed,13.64,64.88,889.52
174,57,2023-03-31,completed,8.79,49.8,681.15
175,57,2023-03-22,completed,6.86,77.37,1051.37
176,57,2023-01-08,completed,12.83,100.68,1371.99
177,57,2022-02-05,completed,3.16,51.69,700.96
178,57,2022-06-07,completed,16.98,135.51,1846.31
179,57,2022-09-13,completed,24.01,20.36,298.9
180,58,2023-02-01,completed,22.84,56.8,789.6
181,59,2022-08-08,completed,24.91,90.56,1247.45
182,59,2022-03-31,cancelled,20.26,122.48,1673.71
183,59,2023-12-19,returned,15.94,30.58,428.83
184,59,2023-08-10,cancelled,9.22,302.96,4099.22
185,60,2023-10-20,completed,1.85,171.7,2319.84
186,60,2023-06-15,cancelled,3.83,150.77,2039.18
187,61,2023-06-16,returned,22.37,25.69,369.24
188,61,2023-07-19,returned,6.86,44.9,612.98
189,62,2023-10-02,completed,18.02,181.55,2468.98
190,62,2022-02-01,completed,12.45,221.18,2998.33
191,62,2022-07-28,pending,8.5,118.02,1601.79
192,62,2022-05-14,completed,19.02,137.08,1869.57
193,62,2022-06-13,completed,20.34,227.19,3087.37
194,62,2022-09-04,completed,5.38,96.68,1310.57
195,63,2022-04-21,completed,10.77,103.28,1405.05
196,63,2023-07-21,completed,7.22,246.89,3340.22
197,63,2022-12-14,completed,13.95,55.58,764.3
198,63,2022-12-08,completed,20.1,195.42,2658.32
199,63,2023-06-06,returned,13.31,287.72,3897.57
200,63,2022-09-29,completed,24.18,134.55,1840.62
201,63,2023-12-19,completed,2.75,34.43,467.58
202,63,2023-02-27,pending,17.26,299.58,4061.62
203,64,2023-05-05,completed,13.14,145.7,1980.13
204,64,2023-12-11,completed,6.61,166.21,2250.49
205,64,2023-05-07,completed,8.72,171.55,2324.63
206,64,2022-05-30,completed,7.26,83.1,1129.08
207,64,2023-07-06,pending,6.78,153.64,2080.92
208,65,2023-04-29,pending,2.51,170.19,2300.08
209,65,2023-05-03,cancelled,11.94,63.17,864.74
210,65,2022-04-02,completed,16.31,124.04,1690.82
211,65,2022-06-29,completed,10.45,56.1,767.74
212,65,2022-10-24,completed,21.92,73.29,1011.29
213,65,2022-12-10,completed,7.11,196.3,2657.14
214,66,2022-12-12,completed,19.77,231.16,3140.38
215,66,2022-09-12,pending,0.17,145.62,1966.09
216,66,2022-03-05,completed,16.69,165.88,2256.05
217,66,2022-08-15,completed,5.48,52.84,718.78
218,66,2023-07-17,completed,22.82,208.9,2842.99
219,67,2023-07-15,completed,22.57,74.38,1026.74
220,67,2023-11-28,completed,5.14,207.11,2801.08
221,67,2023-02-10,completed,6.36,23.47,323.2
222,68,2022-02-16,completed,10.59,37.44,515.98
223,71,2022-03-12,completed,24.65,216.98,2953.88
224,71,2023-01-22,completed,9.39,245.51,3323.76
225,71,2023-07-12,completed,10.6,166.23,2254.74
226,71,2022-01-17,completed,6.02,6.35,91.72
227,71,2023-09-05,completed,16.8,7.6,119.44
228,71,2023-03-26,completed,5.86,39.07,533.34
229,74,2023-08-13,completed,7.97,309.57,4187.16
230,74,2022-06-29,completed,15.65,139.81,1903.06
231,74,2023-01-21,completed,4.6,142.25,1924.93
232,75,2022-07-28,completed,8.26,68.02,926.48
233,75,2022-04-05,completed,13.39,38.22,529.37
234,75,2022-03-16,completed,4.7,233.37,3155.16
235,75,2023-05-06,completed,22.86,226.72,3083.62
236,75,2023-04-23,completed,2.47,182.17,2461.79
237,75,2023-08-22,completed,14.48,141.63,1926.49
238,75,2023-05-16,completed,24.16,170.7,2328.64
239,75,2022-03-02,returned,13.1,8.1,122.51
240,75,2022-01-07,pending,10.31,76.19,1038.82
241,76,2022-03-03,completed,15.45,140.5,1912.14
242,76,2023-12-16,completed,16.85,46.45,643.94
243,76,2022-09-16,completed,20.38,74.34,1023.99
244,76,2023-12-02,completed,20.7,91.73,1259.03
245,77,2022-04-06,completed,10.13,198.05,2683.79
246,77,2022-04-08,completed,22.37,36.13,510.12
247,77,2023-12-10,completed,22.19,118.23,1618.28
248,78,2022-08-01,completed,14.68,121.92,1660.59
249,78,2022-05-24,completed,19.76,116.98,1599.0
250,78,2022-02-24,completed,2.44,128.84,1741.81
251,78,2023-02-11,completed,24.22,89.49,1232.3
252,78,2023-11-28,completed,14.65,84.42,1154.35
253,78,2023-02-03,completed,7.92,37.76,517.73
254,78,2023-04-01,completed,9.0,59.19,808.03
255,78,2022-04-02,completed,8.85,94.65,1286.61
256,79,2023-01-30,completed,0.31,124.82,1685.34
257,81,2023-05-20,completed,3.65,49.57,672.85
258,81,2022-09-10,completed,18.02,130.43,1778.77
259,81,2022-12-04,completed,11.01,208.34,2823.62
260,81,2022-11-23,completed,7.29,174.05,2356.97
261,81,2023-07-13,completed,4.5,177.58,2401.85
262,81,2022-09-16,completed,16.47,217.24,2949.23
263,82,2022-02-07,completed,19.77,157.89,2151.26
264,82,2022-06-20,completed,16.17,82.07,1124.12
265,83,2023-02-14,completed,24.17,96.93,1332.74
266,83,2023-12-06,completed,14.38,213.7,2899.31
267,83,2022-03-29,completed,2.9,49.72,674.17
268,83,2022-12-23,completed,11.9,77.66,1060.28
269,84,2022-06-18,completed,23.25,74.98,1035.43
270,84,2023-04-19,completed,5.8,199.89,2704.3
271,84,2022-01-05,completed,17.62,111.87,1527.91
272,84,2023-07-04,completed,4.67,101.91,1380.46
273,84,2023-09-18,completed,9.81,67.89,926.3
274,84,2023-09-25,completed,4.31,95.65,1295.56
275,85,2023-01-18,completed,17.34,282.6,3832.38
276,85,2022-10-23,completed,3.51,134.83,1823.77
277,85,2023-01-29,completed,24.1,141.83,1938.75
278,85,2022-08-19,completed,13.44,90.65,1237.17
279,85,2022-04-26,completed,14.32,252.66,3425.26
280,85,2022-08-12,cancelled,24.74,90.76,1249.98
281,85,2022-11-01,completed,21.87,28.93,412.4
282,85,2022-03-31,returned,10.98,9.03,132.85
283,86,2023-08-26,completed,17.23,197.2,2679.4
284,86,2022-10-27,completed,7.23,198.04,2680.78
285,86,2022-10-11,completed,21.68,77.14,1063.08
286,86,2023-11-24,completed,9.82,71.04,968.83
287,86,2023-10-11,completed,19.86,90.58,1242.64
288,86,2023-12-13,completed,23.41,91.98,1265.19
289,86,2023-12-16,completed,8.96,49.17,672.77
290,87,2023-03-16,pending,20.62,292.35,3967.36
291,87,2022-02-17,completed,2.49,127.47,1723.29
292,88,2022-11-06,completed,3.97,101.31,1371.71
293,88,2023-10-03,completed,7.64,22.29,308.58
294,88,2022-03-21,completed,3.32,97.54,1320.15
295,88,2022-05-04,completed,24.7,45.32,636.58
296,88,2022-05-17,pending,16.04,90.34,1235.67
297,88,2022-12-26,completed,18.06,54.1,748.4
298,89,2022-04-13,completed,3.5,47.56,645.6
299,89,2023-03-16,completed,7.86,125.22,1698.27
300,89,2023-09-15,completed,7.12,105.4,1430.0
301,89,2022-07-30,pending,12.94,142.09,1931.12
302,89,2022-01-13,returned,24.67,130.04,1780.15
303,89,2022-03-16,completed,0.42,18.51,250.35
304,90,2022-03-03,completed,23.72,131.95,1805.06
305,90,2022-03-27,completed,7.75,303.86,4109.85
306,91,2022-09-02,pending,1.45,10.69,145.8
307,91,2023-09-19,completed,15.22,84.82,1160.28
308,91,2023-05-24,completed,23.83,178.74,2436.87
309,91,2022-09-27,completed,17.81,192.13,2611.52
310,91,2022-04-29,completed,5.71,222.78,3013.29
311,91,2023-03-06,cancelled,5.61,63.23,859.2
312,91,2022-05-03,completed,12.55,32.33,449.01
313,91,2022-02-17,pending,23.85,69.5,962.07
314,92,2022-11-15,pending,8.18,287.05,3883.38
315,92,2023-07-14,completed,19.01,59.38,820.62
316,94,2023-10-14,completed,20.99,1.72,44.15
317,94,2023-11-05,completed,9.41,90.44,1230.35
318,94,2022-04-06,returned,1.1,88.52,1196.1
319,94,2022-03-28,returned,14.52,362.4,4906.86
320,94,2022-12-01,completed,7.95,71.43,972.21
321,94,2022-11-18,completed,10.16,237.33,3214.1
322,94,2022-12-02,completed,3.71,70.21,951.53
323,95,2022-06-28,completed,0.78,61.19,826.79
324,96,2023-02-15,completed,9.31,32.84,452.61
325,96,2022-03-18,completed,0.55,54.55,736.94
326,96,2022-05-12,completed,2.3,123.62,1671.11
327,96,2022-01-31,completed,9.57,75.44,1027.96
328,97,2022-10-30,completed,12.47,193.68,2627.09
329,97,2023-07-12,completed,19.54,105.34,1441.57
330,97,2022-10-15,completed,1.46,86.67,1171.5
331,98,2022-08-13,completed,14.39,230.55,3126.82
332,98,2023-08-05,completed,14.09,165.27,2245.26
333,98,2022-12-06,completed,22.95,20.43,298.71
334,98,2022-06-01,completed,14.67,110.89,1511.68
335,98,2023-01-18,completed,17.61,169.22,2302.11
336,98,2022-06-28,completed,17.68,241.84,3282.57
337,98,2023-08-10,completed,9.79,228.96,3100.8
338,99,2022-06-21,completed,15.9,81.19,1112.02
339,99,2022-12-10,pending,11.17,93.96,1279.66
340,99,2023-03-25,completed,18.31,84.67,1161.3
341,99,2022-04-14,completed,20.72,82.16,1129.83
342,99,2022-03-18,completed,13.68,118.27,1610.32
343,100,2023-05-10,completed,17.61,109.7,1498.52
344,100,2023-07-08,completed,6.63,74.54,1012.87
345,100,2022-01-04,pending,10.69,106.33,1446.12
346,100,2022-03-25,cancelled,11.84,38.52,531.88
347,100,2023-11-08,returned,6.63,107.99,1464.44
348,100,2023-12-15,completed,16.69,64.96,893.67
349,100,2023-02-28,completed,24.27,279.42,3796.47
350,100,2022-02-05,completed,12.55,152.63,2073.11
351,100,2023-12-01,completed,10.88,142.63,1936.44
352,101,2022-03-10,completed,2.18,209.57,2831.32
353,101,2022-06-01,cancelled,14.16,243.32,3298.96
354,101,2023-04-30,completed,0.94,130.41,1761.51
355,102,2022-02-20,completed,18.64,98.05,1342.33
356,102,2023-12-03,completed,2.46,100.7,1361.94
357,102,2023-03-03,completed,15.12,18.17,260.45
358,103,2023-02-21,completed,18.52,233.34,3168.65
359,104,2022-07-25,completed,20.92,31.38,444.52
360,104,2023-01-13,completed,20.59,238.13,3235.35
361,104,2022-09-22,returned,18.72,15.95,234.09
362,104,2022-06-16,completed,21.35,37.53,527.95
363,105,2023-02-24,pending,12.83,26.18,366.22
364,106,2023-09-08,returned,20.02,213.2,2898.21
365,108,2023-10-21,completed,6.88,132.83,1800.07
366,108,2023-11-10,pending,24.16,141.47,1933.98
367,108,2022-10-11,completed,16.01,215.98,2931.78
368,108,2022-02-28,returned,20.14,185.02,2517.96
369,108,2023-08-09,completed,20.4,167.81,2285.87
370,108,2022-11-04,completed,21.14,251.89,3421.7
371,108,2022-08-17,returned,18.61,74.51,1024.44
372,108,2023-10-12,completed,14.59,183.49,2491.67
373,109,2023-08-07,completed,22.32,120.73,1652.18
374,109,2022-08-03,completed,19.03,25.86,368.19
375,109,2023-03-21,completed,15.84,118.08,1609.93
376,109,2023-11-24,completed,0.1,110.36,1489.95
377,110,2023-05-31,completed,14.72,71.15,975.27
378,110,2023-09-03,completed,13.1,190.3,2582.1
379,110,2022-08-18,returned,18.18,10.61,161.36
380,110,2023-12-30,pending,16.26,32.48,454.76
381,110,2023-07-02,completed,15.58,95.22,1301.01
382,110,2023-12-04,completed,15.76,81.92,1121.68
383,110,2022-04-18,completed,12.79,123.51,1680.12
384,111,2023-07-16,completed,12.41,54.65,750.16
385,112,2022-04-24,completed,20.88,193.27,2630.07
386,112,2022-02-21,completed,2.5,73.38,993.17
387,113,2022-04-29,returned,2.37,26.8,364.21
388,113,2022-06-24,completed,8.22,77.53,1054.92
389,113,2023-01-30,completed,17.25,71.86,987.41
390,113,2023-08-28,completed,12.07,226.56,3070.58
391,113,2023-03-28,pending,1.15,154.2,2082.9
392,113,2022-08-18,completed,24.45,120.8,1655.22
393,113,2023-11-11,completed,16.91,198.94,2702.64
394,113,2022-03-18,cancelled,18.79,139.47,1901.61
395,113,2022-08-29,pending,1.97,168.39,2275.22
396,114,2022-02-06,completed,13.93,31.84,443.74
397,114,2023-09-26,completed,15.94,240.88,3267.78
398,114,2023-01-08,completed,17.9,28.48,402.36
399,114,2022-12-16,cancelled,8.88,115.34,1566.02
400,114,2023-02-24,pending,2.67,129.83,1755.32
401,114,2023-04-07,completed,11.43,239.33,3242.36
402,114,2022-06-27,completed,18.26,94.27,1290.93
403,114,2023-01-29,completed,10.47,285.93,3870.49
404,115,2023-12-20,returned,13.7,157.66,2142.14
405,115,2022-12-20,completed,23.03,183.28,2497.29
406,115,2023-10-15,completed,8.06,45.68,624.78
407,115,2023-08-20,completed,14.27,212.2,2878.92
408,115,2023-11-18,returned,1.42,147.08,1986.95
409,115,2022-07-28,pending,18.84,9.64,148.92
410,116,2023-11-23,completed,18.49,163.04,2219.52
411,116,2023-12-14,completed,7.19,31.98,438.97
412,116,2023-12-03,completed,7.82,347.26,4695.89
413,116,2023-07-14,completed,18.46,131.31,1791.15
414,116,2023-12-01,pending,1.86,39.92,540.76
415,116,2022-09-28,pending,3.25,284.58,3845.02
416,117,2022-11-05,returned,12.26,142.29,1933.23
417,117,2022-12-24,completed,5.53,65.61,891.23
418,117,2023-09-26,completed,13.26,184.43,2503.11
419,117,2022-04-27,cancelled,9.65,148.23,2010.79
420,117,2022-06-21,pending,24.29,269.54,3663.04
421,117,2023-10-25,completed,20.42,20.48,296.92
422,117,2023-04-16,completed,17.92,2.93,57.44
423,117,2022-09-15,completed,13.95,203.3,2758.54
424,117,2022-03-06,returned,18.9,249.05,3381.06
425,117,2023-11-08,completed,0.77,43.24,584.46
426,118,2023-10-12,completed,3.6,100.7,1363.0
427,119,2023-07-05,completed,13.69,30.13,420.49
428,119,2022-12-19,completed,5.29,212.11,2868.73
429,119,2023-07-17,completed,1.83,8.54,117.1
430,119,2023-08-18,completed,12.18,52.35,718.9
431,120,2023-04-07,completed,8.21,100.06,1359.08
432,120,2022-11-17,pending,6.15,89.89,1219.69
433,120,2022-12-06,completed,21.95,125.32,1713.79
434,120,2022-07-21,completed,6.58,35.77,489.48
435,120,2023-06-04,pending,15.79,246.01,3336.98
436,121,2022-10-25,completed,3.35,167.9,2269.96
437,121,2023-08-03,completed,16.49,68.64,943.11
438,122,2023-05-15,completed,5.79,150.05,2031.47
439,122,2023-04-11,completed,22.04,9.69,152.89
440,122,2023-06-18,completed,15.84,86.45,1182.92
441,122,2023-11-01,completed,22.46,31.1,442.36
442,122,2022-08-17,completed,12.91,60.99,836.26
443,123,2022-08-24,completed,1.93,124.37,1680.93
444,123,2022-12-05,completed,18.01,147.74,2012.5
445,124,2022-05-18,cancelled,15.74,19.67,281.29
446,124,2022-06-20,completed,6.46,53.18,724.38
447,125,2023-11-09,completed,20.53,49.15,684.08
448,125,2023-04-28,completed,21.68,147.59,2014.15
449,125,2022-07-06,completed,15.58,177.51,2412.0
450,126,2022-06-03,cancelled,15.14,134.53,1831.29
451,126,2022-05-01,completed,2.33,144.57,1954.01
452,126,2023-06-19,cancelled,10.52,52.85,723.94
453,126,2023-05-09,completed,19.74,214.43,2914.5
454,126,2022-03-27,completed,7.08,214.48,2902.6
455,126,2022-04-20,completed,3.87,223.67,3023.38
456,127,2023-07-27,completed,13.87,118.58,1614.75
457,127,2022-08-24,completed,11.16,85.11,1160.2
458,127,2023-09-21,completed,17.43,77.22,1059.93
459,127,2022-01-06,completed,20.11,72.59,1000.03
460,127,2022-03-23,completed,15.23,170.9,2322.33
461,127,2023-03-26,completed,0.27,112.07,1513.24
462,127,2022-10-10,completed,19.49,74.43,1024.25
463,127,2023-07-17,completed,7.11,125.54,1701.91
464,127,2023-07-27,completed,1.81,134.38,1815.94
465,128,2023-03-30,completed,24.15,295.36,4011.45
466,128,2022-08-14,completed,16.92,99.33,1357.84
467,128,2023-12-19,pending,20.8,24.0,344.78
468,128,2022-07-02,completed,11.91,137.14,1863.27
469,129,2022-07-24,completed,5.87,51.4,699.71
470,129,2022-12-31,completed,3.9,27.29,372.34
471,129,2023-11-11,completed,12.32,115.06,1565.64
472,129,2023-05-09,completed,9.28,179.32,2430.04
473,130,2022-08-16,completed,18.75,102.62,1404.17
474,132,2022-12-22,completed,9.84,83.8,1141.2
475,133,2022-01-13,completed,16.85,83.94,1150.02
476,134,2022-07-08,completed,12.47,114.38,1556.63
477,134,2022-07-04,completed,14.29,217.59,2951.79
478,134,2022-01-10,completed,4.42,188.46,2548.61
479,135,2023-12-09,completed,4.08,57.39,778.9
480,135,2022-12-09,pending,6.49,184.74,2500.49
481,135,2023-09-13,cancelled,4.97,262.33,3546.44
482,135,2023-10-09,completed,23.91,84.67,1166.98
483,136,2022-03-15,pending,1.98,83.16,1124.68
484,137,2023-04-01,completed,19.52,84.08,1154.63
485,137,2022-08-29,completed,16.55,16.36,237.46
486,137,2022-04-08,completed,1.59,131.76,1780.29
487,137,2023-02-04,completed,7.73,57.79,787.92
488,137,2022-06-24,completed,0.71,193.89,2618.22
489,138,2023-12-16,completed,13.48,227.28,3081.78
490,138,2023-01-10,completed,10.31,15.08,213.94
491,140,2023-04-26,completed,13.38,137.67,1871.89
492,141,2023-07-29,completed,10.93,107.98,1468.66
493,141,2022-03-23,completed,10.56,121.29,1647.96
494,141,2023-06-29,completed,20.22,72.98,1005.4
495,141,2022-01-20,completed,3.8,89.61,1213.51
496,141,2023-05-26,completed,24.95,32.27,460.63
497,141,2022-09-14,completed,20.43,31.68,448.08
498,141,2023-03-30,completed,6.18,59.25,806.05
499,142,2022-04-07,completed,13.03,69.06,945.35
500,142,2022-02-13,completed,18.62,75.39,1036.44
501,143,2022-10-10,completed,14.62,178.75,2427.74
502,144,2023-05-27,pending,2.29,205.65,2778.53
503,145,2023-03-26,completed,18.33,29.68,419.01
504,145,2022-05-18,completed,6.27,53.85,733.26
505,145,2022-10-29,completed,13.57,196.81,2670.51
506,147,2022-06-08,completed,11.23,134.51,1827.14
507,147,2023-09-27,completed,21.42,293.85,3988.34
508,147,2022-11-26,completed,2.76,70.54,955.09
509,148,2023-06-23,completed,15.6,86.5,1183.32
510,149,2023-03-02,completed,20.55,33.66,474.96
511,149,2022-02-11,completed,18.36,84.14,1154.2
512,150,2023-06-23,returned,16.42,217.01,2946.04
513,150,2022-07-04,completed,13.75,240.82,3264.76
514,151,2022-11-28,completed,15.21,118.05,1608.94
515,152,2022-05-19,completed,24.84,181.18,2470.83
516,153,2023-07-21,completed,12.78,99.2,1351.92
517,154,2023-02-14,completed,14.23,44.32,612.54
518,155,2023-12-08,completed,17.57,37.73,526.87
519,155,2023-08-14,completed,9.54,28.88,399.4
520,155,2023-03-21,completed,10.41,30.11,416.88
